controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
137, 828, 4.48991e+00, 9.67605e+00, 6.09769e+01, 6.09769e+01, 7.40000e+01, 2.07729e-01, 1.74635e+00, 0.00000e+00
138, 830, 4.50075e+00, 9.64209e+00, 6.49074e+01, 6.49074e+01, 7.40000e+01, 2.09639e-01, 1.81361e+00, 0.00000e+00
139, 835, 4.52786e+00, 9.60468e+00, 5.94484e+01, 5.94484e+01, 7.40000e+01, 2.45509e-01, 1.66594e+00, 0.00000e+00
140, 840, 4.55498e+00, 9.58679e+00, 6.58900e+01, 6.58900e+01, 7.40000e+01, 2.97619e-01, 1.59822e+00, 0.00000e+00
141, 845, 4.58209e+00, 9.58280e+00, 6.99297e+01, 6.99297e+01, 7.40000e+01, 3.34911e-01, 1.67877e+00, 0.00000e+00
142, 852, 4.62005e+00, 9.57538e+00, 7.21133e+01, 7.21133e+01, 7.40000e+01, 3.54460e-01, 1.67509e+00, 0.00000e+00
143, 855, 4.63632e+00, 9.56503e+00, 7.78998e+01, 7.78998e+01, 7.40000e+01, 3.78947e-01, 1.72081e+00, 0.00000e+00
144, 862, 4.67427e+00, 9.54651e+00, 7.94829e+01, 7.94829e+01, 7.40000e+01, 3.99072e-01, 1.61069e+00, 0.00000e+00
145, 866, 4.69596e+00, 9.53371e+00, 8.21578e+01, 8.21578e+01, 7.40000e+01, 4.11085e-01, 1.69238e+00, 0.00000e+00
146, 871, 4.72308e+00, 9.51465e+00, 8.77260e+01, 8.77260e+01, 7.40000e+01, 4.33984e-01, 1.73103e+00, 0.00000e+00
147, 876, 4.75019e+00, 9.50306e+00, 8.98004e+01, 8.98004e+01, 7.40000e+01, 4.57763e-01, 1.87609e+00, 0.00000e+00
148, 884, 4.79357e+00, 9.49729e+00, 9.59691e+01, 9.59691e+01, 7.40000e+01, 4.88688e-01, 1.76764e+00, 0.00000e+00
149, 889, 4.82068e+00, 9.48899e+00, 9.79343e+01, 9.79343e+01, 7.40000e+01, 5.09561e-01, 1.95830e+00, 0.00000e+00
150, 894, 4.84780e+00, 9.48291e+00, 1.00828e+02, 1.00828e+02, 7.40000e+01, 5.27964e-01, 1.91750e+00, 0.00000e+00
151, 900, 4.88033e+00, 9.47402e+00, 1.06287e+02, 1.06287e+02, 7.40000e+01, 5.42222e-01, 1.92031e+00, 0.00000e+00
152, 904, 4.90202e+00, 9.46649e+00, 1.08689e+02, 1.08689e+02, 7.40000e+01, 5.55310e-01, 1.91359e+00, 0.00000e+00
153, 909, 4.92914e+00, 9.45094e+00, 1.10236e+02, 1.10236e+02, 7.40000e+01, 5.68757e-01, 1.93783e+00, 0.00000e+00
154, 917, 4.97252e+00, 9.44062e+00, 1.18315e+02, 1.18315e+02, 7.40000e+01, 5.89967e-01, 1.98564e+00, 0.00000e+00
155, 923, 5.00505e+00, 9.42941e+00, 1.21536e+02, 1.21536e+02, 7.40000e+01, 5.99133e-01, 2.04016e+00, 0.00000e+00
156, 929, 5.03759e+00, 9.42559e+00, 1.25248e+02, 1.25248e+02, 7.40000e+01, 6.14639e-01, 2.09107e+00, 0.00000e+00
